,sentence,difficulty
0,Je m’appelle Jessica.,A1
1,"Je suis une fille, je suis française et j’ai treize ans.",A1
2,"Je vais à l’école à Nice, mais j’habite à Cagnes-Sur-Mer.",A1
3,J’ai deux frères.,A1
4,"Le premier s’appelle Thomas, il a quatorze ans.",A1
5,Le second s’appelle Yann et il a neuf ans.,A1
6,Mon papa est italien et il est fleuriste.,A1
7,Ma mère est allemande et est avocate.,A1
8,"Mes frères et moi parlons français, italien et allemand à la maison.",A1
9,"Nous avons une grande maison avec un chien, un poisson et deux chats.",A1
10,"Aujourd’hui, on est samedi, nous rendons visite à notre grand-mère.",A1
11,Elle a 84 ans et elle habite à Antibes.,A1
12,"J’adore ma grand-mère, elle est très gentille.",A1
13,Elle fait des bons gâteaux.,A1
14,"Lundi, je retourne à l’école.",A1
15,"Je suis contente, je vais voir Amélie.",A1
16,C’est ma meilleure amie.,A1
17,J’aime beaucoup l’école.,A1
18,Mes matières préférées sont le français et le sport.,A1
19,J’aime beaucoup lire et je nage très bien.,A1
20,"Je m'appelle Angélica Summer, j'ai 12 ans et je suis canadienne.",A1
21,"Il y a 5 ans, ma famille et moi avons déménagé dans le sud de la France.",A1
22,"Mon père, Frank Summer, est mécanicien ; il adore les voitures anciennes et collectionne les voitures miniatures.",A1
23,Ma mère s'appelle Emilie Summer ; elle est infirmière dans un hôpital non loin de notre maison.,A1
24,"Nous avons déménagé en France, parce qu'elle a toujours aimé la culture de ce pays.",A1
25,La vie en France est très différente de celle au Canada.,A1
26,"Ici, il fait toujours chaud.",A1
27,"Chaque dimanche, nous allons à la magnifique plage de Biarritz et nous achetons des glaces après avoir nagé dans la mer.",A1
28,Les Français sont très sympathiques et accueillants.,A1
29,"Nous parlons français lorsque nous sommes dehors, à l'école ou au marché.",A1
30,"Cependant, nous continuons de parler anglais à la maison, car mes parents ne veulent pas que je perde ma langue natale.",A1
31,Pierre est un jeune garçon de 14 ans.,A1
32,"Il vit à Paris avec ses parents et sa petite sœur Julie, âgée de 8 ans.",A1
33,Toute la petite famille habite dans un grand appartement au 3ème étage d'un immeuble situé près de la Tour Eiffel.,A1
34,"Ainsi, Pierre a le privilège d'admirer chaque jour l'un des monuments les plus visités au monde !",A1
35,"Pour se rendre au collège, Pierre prend le métro à la station Ecole Militaire et sort au collège Claude Debussy.",A1
36,Le trajet ne dure que 20 minutes !,A1
37,"Le week-end, Pierre aime passer du temps en famille.",A1
38,"Tous les quatre en profitent pour visiter les musées parisiens, aller au cinéma, faire du shopping, ou se balader dans l'un des nombreux parcs de la capitale.",A1
39,Les vacances sont les moments préférés de Pierre car il a pour habitude d'aller chez ses grands-parents qui vivent dans une ferme de la campagne normande.,A1
40,"Toute la petite famille apprécie alors l'air pur, la nature et le calme pendant quelques semaines avant de rentrer à Paris.",A1
41,Je m’appelle Hugo et j’ai seize ans.,A1
42,"Aujourd’hui, avec mes parents et ma sœur nous partons en voyage.",A1
43,"Ma sœur s’appelle Laura, elle a treize ans.",A1
44,Nous sommes à l’aéroport : direction Barcelone en Espagne !,A1
45,"J’ai déjà pris l’avion car nous sommes allés à Rome en Italie, il y a deux ans.",A1
46,"A Barcelone, mes parents ont réservé un appartement près de la plage.",A1
47,Mes parents souhaitent louer des vélos pour visiter Barcelone.,A1
48,"Ils veulent admirer la célèbre Sagrada Familia, se balader dans le Parc Güell et goûter la nourriture locale.",A1
49,"Moi, je veux aller au zoo et à l’aquarium… et manger des glaces.",A1
50,Ma sœur préfère aller à la plage pour lire et bronzer.,A1
51,Nous séjournons pendant deux semaines à Barcelone.,A1
52,J’espère qu’il y aura beaucoup de soleil.,A1
53,"Je n’aime pas la pluie, surtout pendant les vacances.",A1
54,Le rouge est une couleur vive.,A1
55,"C’est la couleur de nombreux fruits et légumes, comme les tomates, les fraises ou les cerises.",A1
56,"Le jaune est la couleur des bananes, du maïs ou des poussins par exemple.",A1
57,Le bleuest très présent dans la nature : c’est la couleur du ciel et de la mer.,A1
58,"Le rouge, le jaune et le bleu sont les trois couleurs primaires.",A1
59,"En les mélangeant, on peut former d’autres couleurs.",A1
60,"Le vert par exemple, est la couleur de l’herbe et des feuilles des arbres.",A1
61,"L’orangeest la couleur de certains fruits, comme l’orange qui porte son nom, la clémentine ou l’abricot.",A1
62,Le violet se retrouve chez de nombreuses fleurs comme le lilas.,A1
63,"Le brun, aussi appelé marron, est la couleur du café, de la terre et de l’écorce des arbres.",A1
64,"Enfin, on trouve aussi le blanc, comme la neige, et le noir, comme la nuit.",A1
65,"Entre les deux, il y a le gris : c’est un mélange de blanc et de noir.",A1
66,L’automne débute fin septembre.,A1
67,"Durant cette saison, les feuilles des arbres tombent et couvrent le sol d’un tapis brun, rouge et jaune.",A1
68,"Le temps devient de plus en plus frais, il commence à y avoir de la pluie et du vent.",A1
69,C’est le moment de sortir son manteau et son parapluie !,A1
70,"L’automne est aussi la saison des récoltes : on ramasse le maïs, le tournesol, les pommes, le raisin… 
Vient ensuite l’hiver, la saison la plus froide qui commence fin décembre.",A1
71,Le paysage devient tout blanc à cause de la neige et de la glace.,A1
72,Cette période marque l’arrivée de Noël et des fêtes de fin d’année.,A1
73,"Avec le printemps, qui commence en mars, le soleil est de retour et le temps se réchauffe.",A1
74,La nature redevient verte : l’herbe et les fleurs poussent à nouveau.,A1
75,"Il est agréable de se promener pour observer les papillons, les abeilles et écouter le chant des oiseaux.",A1
76,"Enfin, l’été arrive à la fin du mois de juin.",A1
77,"C’est la saison la plus chaude, pendant laquelle on recommence à mettre ses lunettes de soleil et à aller se promener sur la plage.",A1
78,C’est aussi le moment idéal pour profiter de l’eau et aller nager à la mer ou à la piscine.,A1
79,Je suis bien arrivée à Londres pour ma dernière année d’études de marketing à l’université.,A1
80,Là-bas tout le monde parle anglais !,A1
81,Londres est différent de Paris.,A1
82,"Par exemple, les bus sont rouges et certaines stations de métro semblent très anciennes.",A1
83,Je partage un appartement avec deux autres étudiantes.,A1
84,L’une s’appelle Jennifer et elle a 21 ans et l’autre s’appelle Ashley et elle a 22 ans.,A1
85,Elles sont sympathiques.,A1
86,"Elles m’ont promis de me faire découvrir tout Londres : nous visiterons les musées, les monuments et les parcs.",A1
87,Nous irons aussi nous amuser à Camden Town et voir des concerts.,A1
88,"Et bien sûr, nous irons faire du shopping à Oxford Street et dans le quartier de Covent Garden.",A1
89,"J’ai hâte que tu viennes me rendre visite le mois prochain, pour te montrer mes endroits préférés !",A1
90,J'habite une belle ville dans le nord de la France.,A1
91,"Il y a un quartier très agréable pour aller se balader, lorsqu'il fait beau.",A1
92,Il est possible de faire du vélo dans un parc autour d'une citadelle fortifiée.,A1
93,"Dans le centre de la ville, il y a un très joli quartier, plein de magasins chics et de bons restaurants.",A1
94,"Pour se déplacer, il y a des bus, des vélos et un métro.",A1
95,"C'est pratique pour aller d'un centre commercial à un autre, pour aller à l'école, à la piscine, au stade ou encore au théâtre, parce que la ville est très grande.",A1
96,Il est agréable de marcher dans les petites rues pour admirer l'architecture des maisons anciennes.,A1
97,Je suis en vacances !,A1
98,J’en profite pour faire une grasse-matinée et je sors de mon lit à dix heures.,A1
99,Je prends mon petit-déjeuner dans la cuisine.,A1
100,"Je mange deux tartines de pain, un grand bol de café et un yaourt aux fruits rouges.",A1
101,Je vais ensuite prendre ma douche dans ma salle-de-bain.,A1
102,J’enfile une jolie robe et je pars rejoindre mes amis au centre commercial.,A1
103,"J’achète un livre, un pantalon et une nouvelle lampe pour ma chambre.",A1
104,Il est l’heure de déjeuner !,A1
105,Nous allons au restaurant.,A1
106,Je commande du poisson avec de la purée.,A1
107,"Cet après-midi, mes amis et moi allons au cinéma.",A1
108,"Après avoir bu une tasse de thé dans un café, je rentre chez moi en bus.",A1
109,J’ai passé une très bonne journée de vacances.,A1
110,Vivement demain !,A1
